,age,gender,apps_used,apps_purposes,apps_conversations,conversations_in_person,app_ease,physical_ease,online_ease,covid_apps_more,covid_physical_more,covid_online_more
85,25-34,Man,I have never used a dating app,I have never used a dating app,Never,Never,4,6,5,3.0,3.0,5
86,25-34,Woman,"Tinder,Bumble,OKCupid","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Personal validation,Entertainment",Occasionally,Rarely,5,3,3,4.0,1.0,4
87,18-24,Woman,Tinder,Entertainment,Rarely,Never,2,3,2,6.0,1.0,7
88,Over 55,Man,Grindr,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",Often,Occasionally,3,1,5,4.0,1.0,5
89,25-34,Man,Tinder,Entertainment,Occasionally,Rarely,5,5,7,2.0,5.0,4
90,25-34,Woman,"Tinder,OKCupid","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Entertainment",Often,Rarely,6,3,2,2.0,4.0,6
91,25-34,Man,"Tinder,Bumble,Coffee & Bagel","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Entertainment",Occasionally,Rarely,5,7,6,6.0,2.0,6
92,25-34,Man,"Tinder,Bumble","Finding long-term romantic or sexual relationships,Entertainment",Often,Occasionally,5,4,1,2.0,1.0,4
93,25-34,Man,Grindr,"Making friends,Entertainment",Occasionally,Rarely,5,6,5,4.0,1.0,3
94,35-44,Woman,"OKCupid,Coffee & Bagel",Finding long-term romantic or sexual relationships,Occasionally,Rarely,5,5,6,3.0,6.0,4
95,25-34,Man,"Tinder,Bumble,Plenty of Fish","Finding short-term romantic or sexual relationships,Making friends",Rarely,Rarely,3,6,2,3.0,2.0,6
96,18-24,Woman,Grindr,"Finding long-term romantic or sexual relationships,Making friends",Occasionally,Rarely,4,6,6,4.0,5.0,6
97,18-24,Non-binary,I have never used a dating app,I have never used a dating app,Never,Never,5,4,4,4.0,1.0,4
98,Over 55,Woman,"Match,Plenty of Fish","Finding long-term romantic or sexual relationships,Making friends,Entertainment",Occasionally,Often,6,5,4,5.0,2.0,6
99,35-44,Man,"Tinder,Bumble,Match,Plenty of Fish,OKCupid","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",Rarely,Rarely,2,5,3,6.0,2.0,7
100,45-54,Man,"Match,Plenty of Fish,Other (please describe)","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",Occasionally,Rarely,3,5,3,5.0,3.0,5
101,35-44,Man,"Tinder,Match,Plenty of Fish,OKCupid",Finding long-term romantic or sexual relationships,Occasionally,Rarely,3,4,2,5.0,1.0,5
102,25-34,Woman,"Tinder,Plenty of Fish,Grindr","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",Occasionally,Occasionally,7,6,2,4.0,1.0,6
103,45-54,Man,"Tinder,Match","Finding long-term romantic or sexual relationships,Making friends",Occasionally,Rarely,3,6,2,5.0,1.0,6
104,25-34,Woman,"Tinder,Plenty of Fish,OKCupid","Finding short-term romantic or sexual relationships,Making friends,Entertainment",Occasionally,Rarely,5,6,4,7.0,1.0,7
105,25-34,Man,"Tinder,Coffee & Bagel",Finding long-term romantic or sexual relationships,Rarely,Rarely,5,5,2,2.0,2.0,5
106,35-44,Man,Match,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Personal validation,Entertainment",Often,Often,7,4,7,7.0,2.0,7
107,25-34,Man,Plenty of Fish,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",Occasionally,Rarely,4,4,4,4.0,2.0,5
108,35-44,Man,I have never used a dating app,I have never used a dating app,Never,Never,4,3,1,4.0,1.0,5
109,45-54,Woman,"Match,OKCupid","Finding long-term romantic or sexual relationships,Making friends",Occasionally,Rarely,2,4,2,2.0,2.0,6
110,45-54,Woman,"Tinder,Plenty of Fish,OKCupid","Finding short-term romantic or sexual relationships,Making friends",Often,Occasionally,6,7,7,6.0,3.0,3
111,25-34,Man,"Tinder,Plenty of Fish,OKCupid","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Entertainment",Occasionally,Occasionally,7,5,3,7.0,1.0,7
