,tweets,Created_at,id,userid,date,source,likes,retweets
35,RT @ekonyan8: 帰宅中やまぴから送られてきた癒し、、♡というかわたしのスマホだとこんなに可愛く撮れないんですけど！ぬいぐるみですやん！！今年は絶対iPhone15Proを買うぞ　#ハムスター https://t.co/TOApqph2C6,2023-03-02 17:51:47+00:00,1631351611586146304,815101023790317568,2023-03-02 17:51:47+00:00,Twitter for iPhone,0,4
36,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 17:45:48+00:00,1631350105310674944,3913402876,2023-03-02 17:45:48+00:00,Twitter Web App,0,356
37,"RT @AlexReframe: 🔥IPHONE 15, 15 Plus, iPhone 15 Pro et 15 Pro Max : Du CHANGEMENT ! Point Rumeurs …

Ici 🔥👉 https://t.co/cVxf6VkhbY 

RT po…",2023-03-02 17:45:45+00:00,1631350093444964360,1501888875173720068,2023-03-02 17:45:45+00:00,Twitter for iPhone,0,3
38,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 17:44:48+00:00,1631349850770898944,1184535668317478913,2023-03-02 17:44:48+00:00,Twitter for Android,0,356
39,"iPhone 15 Pro Max rendering images #exposed

 expected to arrive in September 2023 with curved titanium sides, an u… https://t.co/Vs4T5GzvpA",2023-03-02 17:42:51+00:00,1631349361824370689,1570612377636470786,2023-03-02 17:42:51+00:00,Twitter for Android,0,0
40,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 17:29:43+00:00,1631346057748652040,1505149093785571334,2023-03-02 17:29:43+00:00,Twitter for Android,0,356
41,"RT @CeotechI: iPhone 15 Pro: A17 Bionic promette di aumentare la domanda
#3nm #A17Bionic #Apple #AppleiPhone #iPhone #iPhone15Pro #iPhone15…",2023-03-02 17:16:36+00:00,1631342757741568002,334625738,2023-03-02 17:16:36+00:00,Twitter for Android,0,3
42,"Si vous avez loupé cette vidéo 😉 
#Iphone15 #iphone15pro #leaks https://t.co/HwqD7kMmH1",2023-03-02 17:09:24+00:00,1631340941792485394,4576778421,2023-03-02 17:09:24+00:00,Twitter for iPhone,1,0
43,"RT @AlexReframe: 🔥IPHONE 15, 15 Plus, iPhone 15 Pro et 15 Pro Max : Du CHANGEMENT ! Point Rumeurs …

Ici 🔥👉 https://t.co/cVxf6VkhbY 

RT po…",2023-03-02 17:06:06+00:00,1631340111722946571,1168126576149614592,2023-03-02 17:06:06+00:00,Twitter for iPhone,0,3
44,"🔥IPHONE 15, 15 Plus, iPhone 15 Pro et 15 Pro Max : Du CHANGEMENT ! Point Rumeurs …

Ici 🔥👉 https://t.co/cVxf6VkhbY… https://t.co/zmtoHeXKWg",2023-03-02 17:05:41+00:00,1631340009914507264,817694825793331200,2023-03-02 17:05:41+00:00,Twitter for iPhone,11,3
45,Asal dost woi ha Jo Apni dono Kidney Bach k #iphone15pro Gift karay ga.... https://t.co/0syIVRrBmk,2023-03-02 17:02:33+00:00,1631339218529132570,1017859100871417858,2023-03-02 17:02:33+00:00,Twitter for Android,0,0
46,"iPhone 15 Pro: A17 Bionic promette di aumentare la domanda
#3nm #A17Bionic #Apple #AppleiPhone #iPhone #iPhone15Pro… https://t.co/jSeWA5rwI5",2023-03-02 17:00:06+00:00,1631338602390069271,1009027253190131712,2023-03-02 17:00:06+00:00,Blog2Social APP,3,3
47,RT @Apple_Geek_Actu: 🔴Les #iPhone15Pro donneraient envie de changer d'iPhone actuel en raison des améliorations significatives de la puce A…,2023-03-02 16:45:47+00:00,1631335001475227668,1255171107545649153,2023-03-02 16:45:47+00:00,Twitter for iPhone,0,18
