,tweets,id,len,date,source,likes,retweets
60,"Deals: Apple MagSafe charger hits $32, Beats Fit Pro Yellow Volt $170, Anker iPhone gear, more https://t.co/vLaBEoHcaQ",1629169436996542464,118,2023-02-24 17:20:36+00:00,dlvr.it,2,0
61,Kuo: iPhone 15 Pro Models to Feature Improved LiDAR Scanner https://t.co/VjDAtN8MYM,1629166399217364992,83,2023-02-24 17:08:32+00:00,dlvr.it,7,0
62,"The MacRumors Show: David Lewis Talks AirPods, HomePod, and Apple Music in 2023 https://t.co/BpzrcNHxqN",1629158352591933440,103,2023-02-24 16:36:34+00:00,dlvr.it,4,0
63,Kuo: Apple to Launch High-End and Low-End Versions of Second-Generation Headset in 2025 https://t.co/4frHuF0U3c,1629150173602451456,111,2023-02-24 16:04:04+00:00,dlvr.it,5,2
64,Remembering Apple CEO Steve Jobs on His Birthday https://t.co/0ZFIXE5cRN,1629141994282029056,72,2023-02-24 15:31:34+00:00,dlvr.it,7,1
65,Poll: Which new color do you want to see for the iPhone 15 Pro? https://t.co/1pOYm78YzL,1628962057587687425,87,2023-02-24 03:36:33+00:00,dlvr.it,4,0
66,USB-C iPhone 15: The latest news and what to expect https://t.co/S3CT5EPqT2,1628937392756498433,75,2023-02-24 01:58:33+00:00,dlvr.it,7,0
67,"9to5Mac Happy Hour 422: iPhone 15 Pro design leaks, iOS 16.4 new features, non-invasive glucose monitoring progress https://t.co/6AX3DMXY01",1628864539856084992,139,2023-02-23 21:09:03+00:00,dlvr.it,3,0
68,"iPhone 15 Pro Could Come in Dark Red, With Pink and Light Blue Options for iPhone 15 https://t.co/tW5S6lh74d",1628845913400811520,108,2023-02-23 19:55:02+00:00,dlvr.it,15,4
69,Exclusive: First look at the special edition color for iPhone 15 Pro https://t.co/kCqifbW8ix,1628839870675439616,92,2023-02-23 19:31:02+00:00,dlvr.it,9,3
70,Signed Apple-1 and Sealed Original iPhone Expected to Fetch High Prices at Auction https://t.co/5B3yKtsU5S,1628837866876051456,106,2023-02-23 19:23:04+00:00,dlvr.it,2,1
71,"Another OG sealed iPhone is up for auction, will it break the $63k record? https://t.co/eIcJcAMIZD",1628831825094402048,98,2023-02-23 18:59:03+00:00,dlvr.it,2,1
72,Google Photos for iOS Now Supports Magic Eraser Tool for Google One Subscribers https://t.co/oSsnOKy7B7,1628829690172698624,103,2023-02-23 18:50:34+00:00,dlvr.it,6,3
